Time	CH1	Time	CH2
3.280000E-1	1.700109E-2	3.280000E-1	-1.140000E+1
3.282000E-1	1.400090E-2	3.282000E-1	-1.140000E+1
3.284000E-1	1.860119E-2	3.284000E-1	-1.140000E+1
3.286000E-1	1.520097E-2	3.286000E-1	-1.140000E+1
3.288000E-1	1.380088E-2	3.288000E-1	-1.140000E+1
3.290000E-1	1.860119E-2	3.290000E-1	-1.140000E+1
3.292000E-1	1.500096E-2	3.292000E-1	-1.140000E+1
3.294000E-1	1.540099E-2	3.294000E-1	-1.160000E+1
3.296000E-1	1.720110E-2	3.296000E-1	-1.140000E+1
3.298000E-1	1.620104E-2	3.298000E-1	-1.140000E+1
3.300000E-1	1.560100E-2	3.300000E-1	-1.140000E+1
3.302000E-1	1.400090E-2	3.302000E-1	-1.140000E+1
3.304000E-1	2.020129E-2	3.304000E-1	-1.140000E+1
3.306000E-1	1.740111E-2	3.306000E-1	-1.140000E+1
3.308000E-1	2.040131E-2	3.308000E-1	-1.140000E+1
3.310000E-1	1.780114E-2	3.310000E-1	-1.140000E+1
3.312000E-1	1.480095E-2	3.312000E-1	-1.140000E+1
3.314000E-1	1.540099E-2	3.314000E-1	-1.140000E+1
3.316000E-1	1.820116E-2	3.316000E-1	-1.140000E+1
3.318000E-1	1.880120E-2	3.318000E-1	-1.140000E+1
3.320000E-1	1.800115E-2	3.320000E-1	-1.140000E+1
3.322000E-1	1.740111E-2	3.322000E-1	-1.140000E+1
3.324000E-1	1.880120E-2	3.324000E-1	-1.140000E+1
3.326000E-1	1.900122E-2	3.326000E-1	-1.160000E+1
3.328000E-1	1.900122E-2	3.328000E-1	-1.140000E+1
3.330000E-1	1.700109E-2	3.330000E-1	-1.140000E+1
3.332000E-1	1.840118E-2	3.332000E-1	-1.140000E+1
3.334000E-1	1.860119E-2	3.334000E-1	-1.140000E+1
3.336000E-1	1.960125E-2	3.336000E-1	-1.140000E+1
3.338000E-1	1.860119E-2	3.338000E-1	-1.140000E+1
