ACT	Testtype		Diag							
ElSu	ACT Math	Complete	28	31	29	31	30			
Date			7/10/15	7/26/15	8/19/15	9/5/15	9/12/15			
ElSu	ACT Science	Complete	25	34	33	27	31			
Date			7/10/15	7/26/15	8/19/15	9/5/15	9/12/15			
OnBr	ACT Math	Complete	27	30						
Date			8/28/15	9/12/15						
OnBr	ACT Science	Complete	21	33						
Date			8/28/15	9/12/15						
GrBr	ACT Science		25							
Date			10/1/15							
LeLi	ACT Science		24							
Date			10/14/15							
BeHo	Physics		580	670						
Date			7/26/15	8/23/15						
JaHe	Physics	Complete	580	760						
Date			8/10/15	11/3/15						
CaCu	Chemistry	Complete	480	620	680					
Date			8/23/15	9/26/15	10/3/15					
CoRo	Math 1	Complete	630	690	680					
Date			8/20/15	9/13/15	10/3/15					
HaCh	Math 2	Complete	680	770	740	790				
Date			7/30/15	8/23/15	9/20/15	10/3/15				
JaHe	Math 2	Complete	750	780	800					
Date			8/10/15	9/12/15	10/3/15					
AlDu	Math 2		740	790	760					
Date			8/23/15	9/12/15	9/19/15					
ClCh	ACT Math	Complete	24	25	28	26	26	27	29	27
Date			10/14/15	1/3/16	1/24/16	2/7/16	2/28/16	3/13/16	3/26/16	4/7/16
ClCh	ACT Science	Complete	19	23	22	25	27	24	21	27
Date			10/14/15	1/3/16	1/24/16	2/7/16	2/28/16	3/13/16	3/26/16	4/7/16
MiKa	ACT Math	Complete	27	31	34	28	32	35		
Date			10/14/15	12/7/15	1/3/16	1/24/16	2/7/16	3/7/16		
MiKa	ACT Science	Complete	27	24	27	29	33	34		
Date			10/20/15	12/7/15	1/3/16	1/24/16	2/7/16	3/7/16		
JeKu	Math 2	Complete	560	690						
Date			10/23/15	11/3/15						
ElEd	ACT Math	Complete	28	30	34					
Date			12/6/15	3/16/16	4/7/16					
ElEd	ACT Science	Complete	22	29	33					
Date			12/6/15	3/16/16	4/7/16					
ElEd	SAT Math	Complete	690	690	730					
Date			12/1/15	2/6/16	3/5/16					
AnPo	SAT Math	Complete	710	730						
Date			2/29/16	3/7/16						
AnPo	ACT Math	Complete	29	32						
Date			12/19/15	2/7/16						
BeGr	ACT Math	Complete	30	31	35	36				
Date			11/7/15	1/2/16	1/23/16	2/7/16				
BeGr	ACT Science	Complete	30	28	32	28				
Date			11/7/15	1/2/16	1/23/16	2/7/16				
DaVa	ACT Math	Complete	29	35	34					
Date			1/6/16	3/20/16	5/6/16					
DaVa	ACT Science	Complete	25	30	36					
Date			1/6/16	3/20/16	5/6/16					
DaVa	SAT Math		690							
Date			2/14/16							
DaVa	ACT English	Complete	30	35	34					
Date			1/6/16	3/20/16	5/6/16					
DaVa	ACT Reading	Complete	38014	33	35					
Date			1/6/16	3/20/16	5/6/16					
JiLi	ACT Math		25	24	25					
Date			1/6/16	3/12/16	4/23/16					
JiLi	ACT Science		17	18	20					
Date			1/6/16	3/12/16	4/23/16					
JiLi	ACT English		24	26	25					
Date			1/6/16	3/12/16	4/23/16					
JiLi	ACT Reading		19	21	24					
Date			1/6/16	3/12/16	4/23/16					
OlQu	ACT Math	Complete	23	25	28					
Date			11/25/15	2/20/16	5/7/16					
OlQu	ACT Science	Complete	26	34	28					
Date			11/25/15	2/20/16	5/7/16					
OlQu	ACT English	Complete	29	33	33					
Date			11/25/15	2/20/16	5/7/16					
OlQu	ACT Reading	Complete	22	33	34					
Date			11/25/15	2/20/16	5/7/16					
ReRo	ACT Math		17							
Date			11/25/15							
ReRo	ACT Science		18							
Date			11/25/15							
AmIb	ACT Math	Complete	25	29						
Date			12/20/15	1/5/16						
AmIb	ACT Science	Complete	27	33						
Date			12/20/15	1/5/16						
AnBe	ACT Math	Complete	30	30	33	32				
Date			2/25/16	3/13/16	4/10/16					
AnBe	ACT Science	Complete	25	33	24	32				
Date			2/25/16	3/13/16	4/10/16					
AnBe	ACT English	Complete	26	26	29	32				
Date			2/25/16	3/13/16	4/10/16					
AnBe	ACT Reading	Complete	23	33	24	30				
Date			2/25/16	3/13/16	4/10/16					
AsFu	ACT Math		19	23	24	26				
